NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Sebastian Vettel,Super (13),Super (24),Soft (24),,20,vettel
Daniel Ricciardo,Super (13),Super (24),Soft (24),,817,ricciardo
Kimi Raikkonen,Super (13),Super (24),Soft (24),,8,raikkonen
Nico Rosberg,Super (13),Soft (24),Soft (24),,3,rosberg
Valtteri Bottas,Super (13),Super (24),Soft (24),,822,bottas
Daniil Kvyat,Super (12),Super (21),Soft (28),,826,kvyat
Sergio Perez,Super (13),Soft (21),Soft (27),,815,perez
Max Verstappen,Super (12),Soft (24),Super (25),,830,verstappen
Carlos Sainz Jnr,Super (10),Soft (18),Super (9),Super (24),832,jnr
Felipe Nasr,Super (13),Soft (21),Soft (27),,831,nasr
Marcus Ericsson,Super (10),Soft (18),Super (8),Soft (25),828,ericsson
Pastor Maldonado,Super (10),Super (17),Soft (27),Super (7),813,maldonado
Romain Grosjean,Super (9),Soft (17),Soft (33),,154,grosjean
Alexander Rossi,Super (13),Soft (23),Super (23),,834,rossi
Will Stevens,Super (14),Soft (23),Super (22),,829,stevens
Jenson Button,Super (13),Soft (24),Soft (4),Super (11),18,button
Fernando Alonso,Super (10),Soft (23),,,4,alonso
Lewis Hamilton,Super (13),Soft (19),,,1,hamilton
Felipe Massa,Super (12),Super (2),Soft (15),Soft (1),13,massa
Nico Hulkenberg,Super (11),Soft (1),,,807,hulkenberg
