NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Lewis Hamilton,Medium (16),Medium (15),Hard (22),,1,hamilton
Nico Rosberg,Medium (15),Hard (14),Hard (24),,3,rosberg
Sebastian Vettel,Medium (13),Hard (17),Hard (23),,20,vettel
Kimi Raikkonen,Medium (14),Hard (14),Hard (25),,8,raikkonen
Valtteri Bottas,Medium (11),Medium (18),Hard (24),,822,bottas
Nico Hulkenberg,Medium (10),Hard (21),Hard (22),,807,hulkenberg
Romain Grosjean,Medium (11),Medium (22),Hard (20),,154,grosjean
Pastor Maldonado,Medium (12),Medium (24),Hard (17),,813,maldonado
Max Verstappen,Medium (9),Hard (21),Medium (23),,830,verstappen
Carlos Sainz Jnr,Medium (14),Hard (13),Hard (25),,832,jnr
Fernando Alonso,Medium (9),Medium (19),Hard (24),,4,alonso
Sergio Perez,Medium (1),Hard (17),Hard (18),Hard (16),815,perez
Daniil Kvyat,Medium (8),Hard (12),Medium (14),Hard (18),826,kvyat
Marcus Ericsson,Medium (13),Medium (13),Hard (26),,828,ericsson
Daniel Ricciardo,Medium (1),Hard (23),Hard (28),,817,ricciardo
Jenson Button,Hard (10),Medium (17),Medium (25),,18,button
Felipe Massa,Medium (1),Hard (15),Medium (18),Medium (17),13,massa
Alexander Rossi,Medium (22),Hard (11),Medium (18),,834,rossi
Will Stevens,Medium (21),Hard (11),Medium (10),Medium (8),829,stevens
Felipe Nasr,Medium (10),Hard (20),Medium (19),,831,nasr
