NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5,Stint 6,driverId,lastName
Nico Rosberg,Soft (20),Soft (16),Medium (20),,,,3,rosberg
Sebastian Vettel,Super (4),Super (13),Soft (18),Soft (21),,,20,vettel
Daniil Kvyat,Super (4),Soft (15),Soft (16),Medium (21),,,826,kvyat
Daniel Ricciardo,Super (3),Soft (16),Soft (18),Medium (19),,,817,ricciardo
Kimi Raikkonen,Super (1),Soft (13),Medium (23),Soft (19),,,8,raikkonen
Felipe Massa,Soft (19),Soft (12),Medium (25),,,,13,massa
Lewis Hamilton,Soft (1),Soft (4),Super (1),Soft (15),Soft (9),Medium (26),1,hamilton
Max Verstappen,Super (4),Soft (16),Medium (19),Soft (17),,,830,verstappen
Carlos Sainz Jnr,Super (4),Soft (15),Soft (14),Medium (23),,,832,jnr
Valtteri Bottas,Super (4),Soft (17),Soft (9),Medium (26),,,822,bottas
Sergio Perez,Super (4),Soft (14),Soft (10),Medium (28),,,815,perez
Fernando Alonso,Soft (16),Medium (16),Medium (24),,,,4,alonso
Jenson Button,Super (4),Medium (23),Medium (17),Super (12),,,18,button
Esteban Gutierrez,Soft (19),Soft (15),Super (9),Super (12),,,821,gutierrez
Nico Hulkenberg,Super (4),Soft (13),Soft (9),Medium (20),Super (9),,807,hulkenberg
Marcus Ericsson,Soft (4),Medium (24),Medium (27),,,,828,ericsson
Kevin Magnussen,Super (4),Soft (16),Soft (15),Medium (20),,,825,magnussen
Pascal Wehrlein,Soft (15),Soft (12),Soft (16),Super (12),,,836,wehrlein
Romain Grosjean,Soft (1),Soft (19),Soft (13),Super (11),Super (11),,154,grosjean
Felipe Nasr,Soft (1),Medium (19),Medium (20),Soft (15),,,831,nasr
Rio Haryanto,Soft (18),Soft (10),Soft (12),Medium (15),,,837,haryanto
Jolyon Palmer,Soft (15),Super (9),Soft (14),Medium (17),,,835,palmer
