NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Nico Rosberg,Soft (26),Medium (20),Medium (25),,3,rosberg
Lewis Hamilton,Soft (28),Medium (20),Medium (23),,1,hamilton
Valtteri Bottas,Soft (8),Medium (45),Medium (18),,822,bottas
Daniil Kvyat,Soft (21),Medium (31),Soft (19),,826,kvyat
Daniel Ricciardo,Soft (24),Medium (28),Soft (19),,817,ricciardo
Felipe Massa,Soft (9),Medium (43),Medium (19),,13,massa
Nico Hulkenberg,Soft (9),Medium (43),Medium (19),,807,hulkenberg
Sergio Perez,Soft (18),Medium (53),,,815,perez
Max Verstappen,Soft (25),Medium (27),Soft (19),,830,verstappen
Romain Grosjean,Soft (11),Medium (41),Soft (19),,154,grosjean
Pastor Maldonado,Soft (10),Medium (42),Soft (19),,813,maldonado
Marcus Ericsson,Soft (10),Medium (29),Medium (12),Soft (20),828,ericsson
Carlos Sainz Jnr,Soft (13),Medium (30),Soft (8),Soft (20),832,jnr
Jenson Button,Medium (30),Soft (17),Soft (24),,18,button
Alexander Rossi,Soft (27),Medium (23),Soft (19),,834,rossi
Will Stevens,Soft (26),Medium (24),Soft (19),,829,stevens
Felipe Nasr,Soft (12),Medium (32),Medium (7),Soft (6),831,nasr
Sebastian Vettel,Soft (1),Medium (34),Medium (15),,20,vettel
Kimi Raikkonen,Medium (21),,,,8,raikkonen
Fernando Alonso,Medium (1),,,,4,alonso
