NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Nico Rosberg,Super (33),Soft (38),,,3,rosberg
Lewis Hamilton,Super (35),Soft (36),,,1,hamilton
Felipe Massa,Super (34),Soft (37),,,13,massa
Sebastian Vettel,Super (36),Soft (35),,,20,vettel
Valtteri Bottas,Super (26),Soft (45),,,822,bottas
Nico Hulkenberg,Super (25),Soft (46),,,807,hulkenberg
Pastor Maldonado,Soft (37),Super (33),,,813,maldonado
Max Verstappen,Super (26),Soft (44),,,830,verstappen
Sergio Perez,Soft (38),Super (32),,,815,perez
Daniel Ricciardo,Soft (50),Super (20),,,817,ricciardo
Felipe Nasr,Super (24),Soft (46),,,831,nasr
Daniil Kvyat,Super (1),Soft (44),Super (25),,826,kvyat
Marcus Ericsson,Super (2),Soft (43),Soft (24),,828,ericsson
Roberto Merhi,Super (34),Soft (34),,,833,merhi
Romain Grosjean,Super (23),Soft (12),,,154,grosjean
Carlos Sainz Jnr,Super (25),Soft (10),,,832,jnr
Jenson Button,Super (3),Soft (3),Soft (2),,18,button
Will Stevens,Super (1),,,,829,stevens
