NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Nico Rosberg,Super (12),Soft (6),Medium (39),,3,rosberg
Lewis Hamilton,Super (16),Medium (41),,,1,hamilton
Sebastian Vettel,Super (13),Super (22),Soft (22),,20,vettel
Daniel Ricciardo,Super (12),Super (6),Soft (24),Super (15),817,ricciardo
Felipe Massa,Super (11),Soft (7),Medium (39),,13,massa
Romain Grosjean,Soft (18),Medium (39),,,154,grosjean
Nico Hulkenberg,Soft (16),Medium (41),,,807,hulkenberg
Valtteri Bottas,Soft (17),Medium (40),,,822,bottas
Carlos Sainz Jnr,Super (8),Soft (10),Soft (13),Medium (26),832,jnr
Max Verstappen,Super (13),Soft (5),Soft (14),Medium (25),830,verstappen
Jolyon Palmer,Super (12),Soft (6),Medium (39),,835,palmer
Kevin Magnussen,Super (1),Soft (17),Medium (39),,825,magnussen
Sergio Perez,Soft (16),Medium (41),,,815,perez
Jenson Button,Soft (15),Soft (3),Super (12),Medium (26),18,button
Felipe Nasr,Super (10),Soft (8),Medium (38),,831,nasr
Pascal Wehrlein,Super (11),Soft (7),Soft (14),Medium (24),836,wehrlein
Marcus Ericsson,Super (11),Soft (7),Medium (20),,828,ericsson
Kimi Raikkonen,Super (16),Super (5),,,8,raikkonen
Rio Haryanto,Super (12),Soft (5),,,837,haryanto
Esteban Gutierrez,Soft (16),,,,821,gutierrez
Fernando Alonso,Super (12),Soft (4),,,4,alonso
