NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Lewis Hamilton,Soft (15),Soft (18),Medium (24),,1,hamilton
Kimi Raikkonen,Soft (17),Medium (23),Soft (17),,8,raikkonen
Nico Rosberg,Soft (14),Soft (20),Medium (23),,3,rosberg
Valtteri Bottas,Soft (14),Soft (19),Medium (24),,822,bottas
Sebastian Vettel,Soft (13),Soft (19),Medium (4),Medium (21),20,vettel
Daniel Ricciardo,Soft (14),Soft (21),Medium (22),,817,ricciardo
Romain Grosjean,Soft (12),Soft (19),Medium (26),,154,grosjean
Sergio Perez,Soft (17),Soft (20),Medium (19),,815,perez
Daniil Kvyat,Soft (15),Soft (19),Medium (22),,826,kvyat
Felipe Massa,Soft (10),Soft (14),Medium (32),,13,massa
Fernando Alonso,Soft (13),Medium (22),Soft (21),,4,alonso
Felipe Nasr,Soft (10),Soft (14),Soft (17),Medium (15),831,nasr
Nico Hulkenberg,Soft (10),Soft (15),Medium (13),Medium (18),807,hulkenberg
Marcus Ericsson,Soft (11),Soft (14),Soft (12),Medium (19),828,ericsson
Pastor Maldonado,Medium (10),Soft (14),Soft (17),Soft (15),813,maldonado
Will Stevens,Soft (19),Soft (14),Medium (22),,829,stevens
Roberto Merhi,Soft (18),Soft (16),Medium (20),,833,merhi
Max Verstappen,Soft (6),Medium (24),Soft (4),,830,verstappen
Carlos Sainz Jnr,Soft (11),Medium (18),,,832,jnr
