NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5,driverId,lastName
Sebastian Vettel,Medium (17),Medium (20),Hard (19),,,20,vettel
Lewis Hamilton,Medium (4),Hard (20),Medium (14),Hard (18),,1,hamilton
Nico Rosberg,Medium (4),Hard (22),Hard (15),Medium (15),,3,rosberg
Kimi Raikkonen,Medium (2),Medium (12),Medium (20),Hard (22),,8,raikkonen
Valtteri Bottas,Medium (4),Medium (21),Medium (15),Hard (16),,822,bottas
Felipe Massa,Medium (4),Medium (20),Medium (14),Hard (18),,13,massa
Max Verstappen,Medium (4),Hard (16),Hard (20),Medium (16),,830,verstappen
Carlos Sainz Jnr,Medium (14),Hard (18),Hard (23),,,832,jnr
Daniil Kvyat,Medium (4),Medium (17),Hard (18),Hard (16),,826,kvyat
Daniel Ricciardo,Medium (4),Medium (14),Hard (16),Hard (21),,817,ricciardo
Romain Grosjean,Medium (15),Medium (11),Medium (8),Hard (21),,154,grosjean
Felipe Nasr,Medium (2),Hard (18),Hard (10),Hard (13),Medium (12),831,nasr
Sergio Perez,Medium (17),Hard (18),Medium (20),,,815,perez
Nico Hulkenberg,Medium (15),Medium (16),Hard (13),Hard (11),,807,hulkenberg
Roberto Merhi,Medium (5),Hard (17),Medium (20),Medium (11),,833,merhi
Pastor Maldonado,Medium (1),Medium (17),Medium (15),Hard (14),,813,maldonado
Jenson Button,Hard (4),Medium (17),Medium (14),Medium (6),,18,button
Fernando Alonso,Hard (4),Medium (17),,,,4,alonso
Marcus Ericsson,Medium (3),,,,,828,ericsson
