NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Lewis Hamilton,Soft (14),Soft (19),Medium (23),,1,hamilton
Nico Rosberg,Soft (15),Soft (16),Medium (25),,3,rosberg
Sebastian Vettel,Soft (13),Soft (17),Medium (26),,20,vettel
Kimi Raikkonen,Soft (15),Soft (19),Medium (22),,8,raikkonen
Felipe Massa,Soft (13),Medium (21),Medium (22),,13,massa
Valtteri Bottas,Soft (14),Medium (21),Medium (21),,822,bottas
Romain Grosjean,Soft (12),Medium (20),Medium (24),,154,grosjean
Felipe Nasr,Soft (10),Medium (21),Medium (25),,831,nasr
Daniel Ricciardo,Soft (14),Soft (22),Medium (20),,817,ricciardo
Marcus Ericsson,Soft (14),Soft (16),Medium (25),,828,ericsson
Sergio Perez,Soft (11),Soft (15),Soft (15),Medium (14),815,perez
Fernando Alonso,Soft (12),Medium (23),Soft (20),,4,alonso
Jenson Button,Soft (14),Soft (18),Medium (23),,18,button
Carlos Sainz Jnr,Medium (19),Soft (20),Soft (16),,832,jnr
Will Stevens,Soft (16),Medium (22),Soft (16),,829,stevens
Roberto Merhi,Soft (17),Medium (23),Soft (14),,833,merhi
Max Verstappen,Soft (12),Medium (20),Medium (20),,830,verstappen
Pastor Maldonado,Soft (11),Medium (22),Medium (16),,813,maldonado
Daniil Kvyat,Medium (15),,,,826,kvyat
Nico Hulkenberg,Soft (9),,,,807,hulkenberg
