NAME,Stint 1,Stint 2,Stint 3,driverId,lastName
Lewis Hamilton,Super (32),Soft (21),,1,hamilton
Sebastian Vettel,Super (30),Soft (23),,20,vettel
Sergio Perez,Super (12),Soft (41),,815,perez
Felipe Massa,Soft (30),Super (23),,13,massa
Daniil Kvyat,Super (33),Soft (20),,826,kvyat
Felipe Nasr,Super (34),Soft (19),,831,nasr
Pastor Maldonado,Soft (30),Super (23),,813,maldonado
Kimi Raikkonen,Super (31),Soft (22),,8,raikkonen
Jenson Button,Super (12),Soft (41),,18,button
Max Verstappen,Super (1),Soft (23),Super (29),830,verstappen
Fernando Alonso,Soft (13),Super (40),,4,alonso
Valtteri Bottas,Super (26),Soft (26),,822,bottas
Roberto Merhi,Super (13),Soft (39),,833,merhi
Will Stevens,Super (14),Soft (3),Super (34),829,stevens
Daniel Ricciardo,Super (12),Soft (35),,817,ricciardo
Carlos Sainz Jnr,Super (12),Soft (33),,832,jnr
Romain Grosjean,Super (1),Soft (10),,154,grosjean
Nico Rosberg,Super (7),,,3,rosberg
Nico Hulkenberg,Super,,,807,hulkenberg
Marcus Ericsson,Soft,,,828,ericsson
