NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Nico Rosberg,Super (37),Soft (41),,,3,rosberg
Sebastian Vettel,Super (36),Soft (42),,,20,vettel
Lewis Hamilton,Super (38),Soft (27),Super (13),,1,hamilton
Daniil Kvyat,Super (28),Soft (50),,,826,kvyat
Daniel Ricciardo,Super (36),Soft (29),Super (13),,817,ricciardo
Kimi Raikkonen,Super (37),Soft (41),,,8,raikkonen
Sergio Perez,Super (36),Soft (28),Super (14),,815,perez
Jenson Button,Super (35),Soft (29),Super (14),,18,button
Felipe Nasr,Super (18),Soft (46),Super (14),,831,nasr
Carlos Sainz Jnr,Super (12),Soft (66),,,832,jnr
Nico Hulkenberg,Soft (1),Super (30),Soft (47),,807,hulkenberg
Romain Grosjean,Super (17),Soft (61),,,154,grosjean
Marcus Ericsson,Super (14),Soft (24),Super (31),Super (9),828,ericsson
Valtteri Bottas,Soft (14),Super (42),Super (22),,822,bottas
Felipe Massa,Super (1),Soft (38),Super (23),Super (15),13,massa
Roberto Merhi,Soft (35),Super (41),,,833,merhi
Will Stevens,Soft (33),Super (43),,,829,stevens
Max Verstappen,Super (29),Soft (17),Super (16),,830,verstappen
Fernando Alonso,Soft (32),Super (9),,,4,alonso
Pastor Maldonado,Super (5),,,,813,maldonado
