NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Nico Rosberg,Super (10),Soft (21),Soft (24),,3,rosberg
Lewis Hamilton,Super (11),Soft (30),Soft (14),,1,hamilton
Kimi Raikkonen,Super (10),Soft (22),Soft (23),,8,raikkonen
Sebastian Vettel,Soft (23),Soft (16),Super (16),,20,vettel
Sergio Perez,Super (6),Soft (21),Soft (28),,815,perez
Daniel Ricciardo,Super (6),Soft (20),Soft (29),,817,ricciardo
Nico Hulkenberg,Super (7),Soft (17),Soft (31),,807,hulkenberg
Felipe Massa,Super (6),Soft (20),Soft (29),,13,massa
Romain Grosjean,Soft (23),Soft (20),Super (12),,154,grosjean
Daniil Kvyat,Super (5),Soft (20),Soft (30),,826,kvyat
Carlos Sainz Jnr,Super (7),Soft (21),Soft (27),,832,jnr
Max Verstappen,Super (8),Soft (12),Soft (18),Super (16),830,verstappen
Jenson Button,Super (8),Soft (19),Soft (27),,18,button
Valtteri Bottas,Super (8),Soft (1),Soft (20),Soft (25),822,bottas
Marcus Ericsson,Soft (15),Soft (26),Super (13),,828,ericsson
Felipe Nasr,Super (4),Soft (22),Soft (18),Super (10),831,nasr
Fernando Alonso,Super (1),Soft (16),Soft (30),Super (6),4,alonso
Will Stevens,Soft (23),Super (10),Soft (20),,829,stevens
Roberto Merhi,Soft (24),Super (28),,,833,merhi
Pastor Maldonado,,,,,813,maldonado
