NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5,driverId,lastName
Nico Rosberg,Super (13),Soft (17),Super (9),Soft (18),,3,rosberg
Kimi Raikkonen,Super (12),Soft (17),Super (8),Soft (20),,8,raikkonen
Lewis Hamilton,Super (13),Medium (15),Super (13),Soft (16),,1,hamilton
Daniel Ricciardo,Super (6),Soft (18),Soft (18),Medium (15),,817,ricciardo
Romain Grosjean,Super (11),Super (16),Super (13),Soft (17),,154,grosjean
Max Verstappen,Super (10),Soft (16),Medium (20),Super (11),,830,verstappen
Daniil Kvyat,Soft (16),Soft (18),Super (10),Super (12),,826,kvyat
Felipe Massa,Super (7),Medium (22),Medium (27),,,13,massa
Valtteri Bottas,Super (8),Medium (26),Soft (22),,,822,bottas
Stoffel Vandoorne,Super (9),Soft (16),Soft (16),Super (15),,838,vandoorne
Kevin Magnussen,Soft (12),Super (12),Super (14),Super (18),,825,magnussen
Marcus Ericsson,Soft (13),Soft (16),Medium (27),,,828,ericsson
Pascal Wehrlein,Soft (11),Soft (18),Super (12),Super (15),,836,wehrlein
Felipe Nasr,Soft (10),Soft (20),Medium (17),Super (9),,831,nasr
Nico Hulkenberg,Super (1),Soft (15),Medium (19),Super (16),Super (5),807,hulkenberg
Sergio Perez,Super (2),Super (12),Soft (23),Super (19),,815,perez
Rio Haryanto,Soft (12),Soft (19),Medium (13),Super (12),,837,haryanto
Carlos Sainz Jnr,Soft (2),Medium (18),Soft (9),,,832,jnr
Esteban Gutierrez,Super (8),Super (1),,,,821,gutierrez
Jenson Button,Super (6),,,,,18,button
