NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Lewis Hamilton,Soft (25),Medium (33),,,1,hamilton
Nico Rosberg,Soft (26),Medium (32),,,3,rosberg
Sebastian Vettel,Soft (24),Medium (34),,,20,vettel
Felipe Massa,Soft (21),Medium (37),,,13,massa
Felipe Nasr,Soft (25),Medium (33),,,831,nasr
Daniel Ricciardo,Soft (23),Medium (34),,,817,ricciardo
Nico Hulkenberg,Soft (21),Medium (23),Soft (13),,807,hulkenberg
Marcus Ericsson,Medium (1),Soft (25),Soft (17),Soft (14),828,ericsson
Carlos Sainz Jnr,Soft (24),Medium (33),,,832,jnr
Sergio Perez,Medium (38),Soft (19),,,815,perez
Jenson Button,Soft (27),Medium (29),,,18,button
Kimi Raikkonen,Soft (16),Soft (24),Medium (0),,8,raikkonen
Max Verstappen,Medium (32),,,,830,verstappen
