NAME,Stint 1,Stint 2,Stint 3,driverId,lastName
Lewis Hamilton,Super (29),Soft (41),,1,hamilton
Nico Rosberg,Super (30),Soft (40),,3,rosberg
Valtteri Bottas,Super (28),Soft (42),,822,bottas
Kimi Raikkonen,Super (26),Soft (14),Super (30),8,raikkonen
Sebastian Vettel,Super (7),Soft (28),Soft (35),20,vettel
Felipe Massa,Soft (37),Super (33),,13,massa
Pastor Maldonado,Super (17),Soft (53),,813,maldonado
Nico Hulkenberg,Super (28),Soft (41),,807,hulkenberg
Daniil Kvyat,Super (27),Soft (42),,826,kvyat
Romain Grosjean,Super (27),Soft (22),Soft (20),154,grosjean
Sergio Perez,Super (24),Soft (45),,815,perez
Carlos Sainz Jnr,Super (27),Soft (42),,832,jnr
Daniel Ricciardo,Super (23),Soft (46),,817,ricciardo
Marcus Ericsson,Super (28),Soft (41),,828,ericsson
Max Verstappen,Soft (39),Super (30),,830,verstappen
Felipe Nasr,Super (26),Soft (42),,831,nasr
Will Stevens,Soft (34),Super (13),Super (19),829,stevens
Roberto Merhi,Soft (35),Super (22),,833,merhi
Jenson Button,Soft (44),Super (10),,18,button
Fernando Alonso,Super (31),Soft (13),,4,alonso
