lap,1,4,8,20,815,817,822,830,832,839,840,841,842,844,846,847,849,852,853,854
1,209.672,227.661,243.125,214.55,245.276,211.567,229.485,207.071,223.237,218.65,241.179,231.234,217.248,219.679,234.181,209.066,222.556,235.4,239.064,236.578
