lap,4,807,815,822,825,830,839,840,842,844,846,847,848,852,855,857,858,859
1,113.076,122.98,134.418,121.644,128.724,108.811,116.609,127.271,119.728,115.203,118.297,136.894,124.413,120.627,131.955,111.659,125.189,130.307
2,143.156,144.208,142.978,143.53,144.703,145.603,141.537,144.388,142.67,142.066,141.989,144.817,144.139,143.214,143.964,143.629,144.779,144.568
3,146.267,144.087,139.667,148.157,143.995,145.963,147.307,146.047,146.279,147.138,146.755,137.163,143.55,146.588,139.696,145.896,143.162,143.644
4,152.593,146.222,142.202,146.382,142.907,153.159,150.509,142.823,148.16,151.175,149.326,140.576,145.619,146.536,143.012,153.406,145.067,142.693
5,90.881,92.794,93.391,94.03,93.919,90.273,91.865,94.323,92.599,91.447,92.229,93.658,93.057,93.077,93.411,90.471,93.163,94.626
6,89.585,91.008,93.15,92.573,92.57,89.409,90.547,92.814,90.928,89.949,91.099,91.899,92.71,92.306,92.609,89.328,92.728,93.104
7,90.54,91.238,91.267,91.648,92.376,89.083,90.422,92.026,90.594,90.125,90.384,91.415,90.726,91.223,91.243,89.556,91.137,92.18
8,90.053,90.702,90.804,91.04,92.176,89.362,90.304,90.857,90.45,90.037,90.262,90.052,90.614,90.681,91.432,89.847,90.873,91.412
9,89.604,91.084,90.855,91.277,91.501,89.326,90.301,90.806,90.222,89.942,90.04,90.105,91.05,95.106,91.072,89.55,91.699,91.125
10,89.955,90.961,91.572,90.958,91.518,89.457,94.408,90.998,90.416,89.927,90.11,90.09,90.245,112.205,91.43,89.522,91.164,91.231
11,94.065,90.707,90.817,91.227,90.958,89.357,113.637,90.931,94.153,89.602,89.396,90.554,90.521,90.652,90.927,89.883,91.102,91.106
12,112.578,90.287,91.085,91.289,92.019,89.202,89.933,91.406,113.607,93.651,89.195,89.592,91.693,89.532,90.822,93.032,90.698,91.836
13,90.137,96.246,90.534,91.142,91.611,89.015,89.743,91.067,89.18,113.166,92.79,88.742,90.652,90.062,90.606,114.427,94.911,92.277
