lap,1,4,807,815,822,825,830,832,839,840,842,844,846,847,848,852,855,856,857,858
1,101.038,96.851,104.753,97.257,105.612,104.694,105.222,99.413,100.245,99.093,102.172,103.306,106.323,98.652,105.985,105.589,104.564,106.74,107.254,107.264
2,97.188,95.567,97.67,95.906,98.763,97.219,97.68,96.583,97.006,96.324,97.056,96.907,103.07,96.114,98.916,98.171,96.615,100.748,124.805,99.426
3,96.628,95.14,96.538,94.829,96.956,96.796,96.526,95.354,96.066,95.239,96.044,95.825,123.534,95.3,97.065,97.15,96.26,96.945,95.634,96.997
4,96.263,96.664,97.593,95.651,97.211,97.098,96.503,95.428,95.729,95.56,96.291,95.871,96.627,95.596,96.913,97.006,96.359,96.847,95.512,96.844
5,95.867,94.92,96.753,94.873,96.597,97.298,95.359,95.433,95.849,95.471,95.973,96.275,95.929,95.423,97.108,96.705,96.314,96.992,95.662,96.881
6,95.973,94.658,96.095,94.621,97.418,97.01,95.84,95.667,95.794,95.551,95.837,95.347,95.963,95.477,97.004,96.788,95.928,96.862,95.359,97.043
7,96.093,94.422,96.398,94.277,97.674,96.304,95.687,95.216,95.847,95.14,97.137,96.117,95.771,95.256,97.577,96.655,96.506,97.087,95.636,97.282
8,96.122,94.398,96.282,94.477,98.831,99.187,95.129,95.321,96.212,95.616,96.645,95.858,95.523,95.157,97.053,96.569,97.134,97.22,95.626,98.259
9,96.978,94.4,96.613,94.255,99.617,112.964,95.561,96.378,95.924,96.118,96.549,95.364,95.721,95.89,96.126,96.285,96.451,97.249,95.9,97.159
10,95.976,94.835,96.166,94.106,114.489,95.834,95.443,96.056,95.955,95.443,96.262,95.612,96.141,95.265,96.311,96.187,96.253,96.592,95.782,96.757
11,95.909,94.982,99.066,94.075,96.218,95.756,95.306,95.842,95.901,95.512,96.022,95.125,96.1,95.4,95.911,96.2,99.247,96.52,95.899,96.735
12,96.568,94.927,113.453,94.16,95.927,95.805,94.848,95.944,96.266,96.522,96.128,95.438,96.285,95.283,96.066,95.839,115.874,96.282,96.364,96.645
13,95.822,94.918,95.892,94.263,96.495,95.552,95.183,95.256,97.156,98.543,96.17,95.226,96.269,95.043,96.026,96.087,95.263,96.014,96.654,96.126
14,95.708,94.837,96.821,94.409,96.207,95.199,94.2,95.001,96.579,114.305,98.551,94.609,96.289,94.94,96.878,95.938,95.547,96.449,96.275,96.434
15,95.693,94.717,96.004,94.392,96.259,95.179,94.499,97.523,96.209,96.262,113.128,95.071,96.228,94.946,96.622,95.616,95.618,96.017,96.082,96.19
16,95.228,94.842,95.932,94.19,96.153,95.561,94.443,113.399,98.567,96.485,95.536,97.681,96.446,95.12,96.83,95.638,95.98,96.126,96.304,96.154
17,95.047,94.595,109.761,93.961,118.961,108.27,93.79,102.111,125.968,0.0,107.735,119.434,116.008,94.892,104.635,102.41,109.326,109.322,111.27,107.279
18,136.76,129.623,136.855,127.357,151.15,136.205,134.348,132.896,134.175,0.0,135.212,134.267,137.711,132.217,150.389,149.289,137.713,149.507,136.427,136.225
19,160.428,184.156,127.15,190.334,115.77,131.086,167.259,145.323,134.215,0.0,132.712,143.866,120.488,175.488,130.688,134.657,135.298,127.643,127.588,142.638
20,154.637,159.344,146.826,160.799,128.105,149.075,156.511,155.497,151.924,0.0,150.632,153.149,138.348,157.575,148.46,152.401,141.617,146.031,143.704,144.92
21,97.234,96.033,98.42,94.557,99.065,98.649,96.946,97.37,98.033,0.0,98.374,98.031,99.3,96.802,99.011,98.152,98.769,99.388,99.663,98.699
22,95.182,94.738,96.951,93.895,98.366,96.88,94.973,96.313,96.558,0.0,96.576,95.7,97.7,95.07,96.964,96.197,97.391,97.424,97.626,97.11
23,94.715,94.771,95.533,93.464,98.218,95.702,94.115,95.041,95.212,0.0,95.918,94.853,96.253,94.958,95.656,95.717,96.346,97.103,96.562,95.822
24,94.335,94.836,95.782,93.44,96.239,95.279,94.146,94.656,94.882,0.0,95.322,95.403,96.251,95.063,95.567,96.425,95.452,95.386,96.405,95.557
25,94.734,94.136,95.891,93.426,96.412,96.317,92.933,94.814,95.131,0.0,95.27,94.742,95.515,94.106,96.007,96.833,95.56,95.686,96.735,95.738
26,93.998,94.119,96.043,93.072,96.343,95.544,92.94,94.415,94.609,0.0,95.105,94.432,95.315,94.493,98.229,95.513,96.338,96.074,95.752,96.912
27,93.985,94.246,96.238,92.891,96.993,95.501,92.838,94.539,94.903,0.0,95.0,94.681,95.574,94.118,151.949,95.392,95.629,95.766,95.973,95.604
28,94.234,94.062,95.62,93.025,96.128,95.564,92.869,94.762,94.918,0.0,94.65,94.886,95.724,94.091,0.0,95.155,95.4,95.508,95.543,95.208
29,94.186,93.988,95.176,92.726,96.166,95.001,92.67,94.331,94.582,0.0,94.601,94.321,95.729,93.688,0.0,94.791,94.811,95.759,95.949,94.738
30,94.447,93.654,96.263,92.726,95.846,95.139,92.877,94.498,94.978,0.0,94.869,94.334,95.446,94.165,0.0,95.113,96.153,95.778,95.673,96.407
31,93.846,93.605,95.038,92.554,96.248,95.057,92.382,94.104,94.79,0.0,94.735,94.082,95.694,93.433,0.0,94.929,95.268,95.64,95.446,95.039
32,94.071,93.401,95.368,92.498,96.142,94.959,92.4,93.867,94.641,0.0,94.626,94.701,95.478,93.633,0.0,95.246,95.136,95.141,95.224,95.314
33,93.874,93.337,95.028,92.55,95.997,94.402,92.387,93.989,94.394,0.0,94.516,93.787,95.49,93.52,0.0,94.797,95.397,95.188,95.644,95.325
34,93.864,93.22,95.478,92.294,96.148,94.852,92.341,93.861,94.698,0.0,94.394,93.716,95.481,93.758,0.0,94.925,95.361,95.25,95.47,95.069
35,93.887,93.514,95.013,92.68,98.834,95.659,92.249,93.862,94.644,0.0,94.5,94.341,95.261,93.756,0.0,94.878,95.164,95.027,95.277,95.523
36,93.39,93.323,94.957,92.292,114.109,94.662,92.384,93.539,94.286,0.0,94.436,93.749,95.158,93.625,0.0,94.61,95.233,94.763,95.005,95.534
37,93.625,93.175,94.809,92.638,94.384,94.357,92.496,93.803,94.136,0.0,94.289,93.839,95.005,93.524,0.0,94.715,95.391,95.127,94.859,95.437
38,93.653,93.174,94.03,92.188,94.976,94.047,93.123,93.913,94.216,0.0,94.355,93.713,94.658,93.42,0.0,94.488,95.158,95.591,94.827,96.144
39,93.383,93.249,94.263,93.19,95.348,94.189,92.432,93.465,94.039,0.0,93.929,93.479,95.057,93.555,0.0,94.353,94.646,95.769,94.949,95.718
40,93.507,92.768,94.365,92.83,96.474,95.449,92.606,93.403,93.826,0.0,94.11,93.569,95.549,93.459,0.0,94.373,94.764,95.091,94.429,95.18
41,93.22,93.127,94.047,92.637,96.7,94.27,92.638,93.411,93.915,0.0,93.829,93.155,94.969,92.998,0.0,94.316,94.363,95.319,95.301,95.974
42,93.314,93.156,94.351,92.235,95.325,93.753,92.274,93.432,93.964,0.0,93.96,93.384,96.183,93.041,0.0,94.056,94.825,94.968,95.951,95.92
43,93.011,93.207,94.388,92.308,95.288,94.108,92.343,93.288,93.897,0.0,94.026,93.447,95.228,93.083,0.0,93.989,94.514,94.22,95.257,95.229
