raceId,driverId,lap,position,time,milliseconds
942,1,1,1,1:58.693,118693
942,1,2,1,1:57.277,117277
942,1,3,1,1:57.404,117404
942,1,4,1,1:58.083,118083
942,1,5,1,2:05.181,125181
942,1,6,1,2:17.859,137859
942,1,7,1,2:17.016,137016
942,1,8,1,2:04.793,124793
942,1,9,1,1:57.076,117076
942,1,10,1,1:57.812,117812
942,1,11,1,1:58.280,118280
942,1,12,1,1:59.224,119224
942,1,13,1,1:57.269,117269
942,1,14,1,1:57.090,117090
942,1,15,2,1:56.568,116568
942,1,16,2,1:56.449,116449
942,1,17,2,1:55.965,115965
942,1,18,4,1:58.981,118981
942,1,19,8,2:16.171,136171
942,1,20,4,1:53.205,113205
942,1,21,4,1:49.587,109587
942,1,22,3,1:47.137,107137
942,1,23,3,1:45.130,105130
942,1,24,3,1:44.815,104815
942,1,25,3,1:45.270,105270
942,1,26,2,1:43.908,103908
942,1,27,2,1:54.267,114267
942,1,28,2,2:25.869,145869
942,1,29,2,2:35.654,155654
942,1,30,2,2:39.331,159331
942,1,31,2,2:37.189,157189
942,1,32,2,2:32.788,152788
942,1,33,2,1:45.938,105938
942,1,34,2,1:42.725,102725
942,1,35,2,1:42.659,102659
942,1,36,2,1:43.111,103111
942,1,37,2,1:43.414,103414
942,1,38,2,2:14.832,134832
942,1,39,1,2:18.096,138096
942,1,40,1,1:43.950,103950
942,1,41,1,1:42.961,102961
942,1,42,1,1:42.579,102579
942,1,43,1,2:04.746,124746
942,1,44,2,2:45.396,165396
942,1,45,2,2:31.554,151554
942,1,46,2,2:31.923,151923
942,1,47,2,1:41.853,101853
942,1,48,1,1:40.738,100738
942,1,49,1,1:41.060,101060
942,1,50,1,1:41.223,101223
942,1,51,1,1:41.022,101022
942,1,52,1,1:41.041,101041
942,1,53,1,1:41.160,101160
942,1,54,1,1:42.136,102136
942,1,55,1,1:42.939,102939
942,1,56,1,1:44.306,104306
942,826,1,2,2:00.099,120099
942,826,2,2,1:57.138,117138
942,826,3,2,1:56.868,116868
942,826,4,2,1:57.703,117703
942,826,5,2,2:06.246,126246
942,826,6,2,2:17.606,137606
942,826,7,2,2:16.748,136748
942,826,8,3,2:05.256,125256
942,826,9,3,1:57.181,117181
942,826,10,3,1:57.923,117923
942,826,11,3,1:58.297,118297
942,826,12,3,1:58.661,118661
942,826,13,4,1:58.833,118833
942,826,14,4,1:56.948,116948
942,826,15,4,1:55.995,115995
942,826,16,4,1:55.995,115995
942,826,17,4,1:55.794,115794
942,826,18,3,1:57.123,117123
942,826,19,3,1:55.118,115118
942,826,20,3,2:13.985,133985
942,826,21,3,1:49.654,109654
942,826,22,4,1:48.931,108931
942,826,23,4,1:46.497,106497
942,826,24,5,1:47.381,107381
942,826,25,5,1:46.053,106053
942,826,26,5,1:46.108,106108
942,826,27,5,1:55.744,115744
942,826,28,4,2:20.072,140072
942,826,29,4,2:34.575,154575
942,826,30,4,2:39.123,159123
942,826,31,4,2:37.464,157464
942,826,32,4,2:30.988,150988
942,826,33,5,1:49.222,109222
942,826,34,7,1:48.406,108406
942,826,35,7,1:45.769,105769
942,826,36,6,1:45.759,105759
942,826,37,5,1:45.702,105702
942,826,38,5,2:18.895,138895
942,826,39,10,2:26.793,146793
942,826,40,10,1:45.930,105930
942,826,41,10,1:43.728,103728
942,817,1,3,2:00.885,120885
942,817,2,3,1:57.405,117405
942,817,3,3,1:57.050,117050
942,817,4,3,1:57.662,117662
942,817,5,3,2:08.542,128542
942,817,6,3,2:16.874,136874
942,817,7,3,2:14.933,134933
942,817,8,4,2:05.227,125227
942,817,9,4,1:56.930,116930
942,817,10,4,1:57.870,117870
942,817,11,4,1:58.220,118220
942,817,12,4,1:58.214,118214
942,817,13,2,1:56.680,116680
942,817,14,2,1:56.898,116898
942,817,15,1,1:55.362,115362
942,817,16,1,1:54.685,114685
942,817,17,1,1:54.650,114650
942,817,18,1,1:54.194,114194
942,817,19,1,1:54.143,114143
942,817,20,1,2:18.388,138388
942,817,21,1,1:49.539,109539
942,817,22,2,1:48.350,108350
942,817,23,2,1:46.473,106473
942,817,24,2,1:46.060,106060
942,817,25,2,1:46.267,106267
942,817,26,3,1:45.829,105829
942,817,27,3,1:54.751,114751
942,817,28,3,2:26.007,146007
942,817,29,3,2:34.751,154751
942,817,30,3,2:39.567,159567
942,817,31,3,2:37.553,157553
942,817,32,3,2:31.794,151794
942,817,33,3,1:48.276,108276
942,817,34,4,1:47.239,107239
942,817,35,5,1:46.476,106476
942,817,36,5,1:46.983,106983
942,817,37,6,1:48.559,108559
942,817,38,7,2:20.344,140344
942,817,39,11,2:25.728,145728
942,817,40,11,1:43.808,103808
942,817,41,11,1:43.972,103972
942,817,42,10,1:43.498,103498
942,817,43,10,2:18.073,138073
942,817,44,8,2:17.997,137997
942,817,45,7,2:15.875,135875
942,817,46,7,2:28.937,148937
942,817,47,7,1:46.346,106346
942,817,48,7,1:45.121,105121
942,817,49,9,1:47.092,107092
942,817,50,11,1:48.910,108910
942,817,51,12,2:04.600,124600
942,817,52,11,1:43.467,103467
942,817,53,11,1:41.980,101980
942,817,54,11,1:43.139,103139
942,817,55,11,1:44.111,104111
942,817,56,10,1:43.790,103790
942,3,1,4,2:01.650,121650
942,3,2,4,1:58.716,118716
942,3,3,4,1:57.464,117464
942,3,4,4,1:58.208,118208
942,3,5,4,2:07.601,127601
942,3,6,4,2:15.522,135522
942,3,7,4,2:15.082,135082
942,3,8,2,2:02.836,122836
942,3,9,2,1:57.162,117162
942,3,10,2,1:58.183,118183
942,3,11,2,1:58.149,118149
942,3,12,2,1:58.969,118969
942,3,13,3,1:58.141,118141
942,3,14,3,1:56.677,116677
942,3,15,3,1:56.172,116172
942,3,16,3,1:56.329,116329
942,3,17,3,1:55.790,115790
942,3,18,2,1:56.124,116124
942,3,19,2,1:55.927,115927
942,3,20,2,2:13.229,133229
942,3,21,2,1:47.466,107466
942,3,22,1,1:46.148,106148
942,3,23,1,1:43.999,103999
942,3,24,1,1:43.534,103534
942,3,25,1,1:43.231,103231
942,3,26,1,1:43.280,103280
942,3,27,1,1:52.810,112810
942,3,28,1,2:36.865,156865
942,3,29,1,2:33.927,153927
942,3,30,1,2:41.450,161450
942,3,31,1,2:37.287,157287
942,3,32,1,2:32.494,152494
942,3,33,1,1:45.312,105312
942,3,34,1,1:42.964,102964
942,3,35,1,1:42.996,102996
942,3,36,1,1:43.351,103351
942,3,37,1,1:43.365,103365
942,3,38,1,2:14.626,134626
942,3,39,4,2:28.066,148066
942,3,40,3,1:43.171,103171
942,3,41,3,1:41.053,101053
942,3,42,2,1:42.214,102214
942,3,43,2,2:07.401,127401
942,3,44,1,2:36.241,156241
942,3,45,1,2:31.040,151040
942,3,46,1,2:31.881,151881
942,3,47,1,1:41.334,101334
942,3,48,2,1:45.027,105027
942,3,49,2,1:40.666,100666
942,3,50,2,1:41.269,101269
942,3,51,2,1:41.496,101496
942,3,52,2,1:41.487,101487
942,3,53,2,1:42.282,102282
942,3,54,2,1:42.377,102377
942,3,55,2,1:42.594,102594
942,3,56,2,1:42.918,102918
942,815,1,5,2:02.597,122597
942,815,2,5,1:59.262,119262
942,815,3,5,1:58.828,118828
942,815,4,5,1:59.464,119464
942,815,5,5,2:06.584,126584
942,815,6,5,2:15.905,135905
942,815,7,5,2:18.417,138417
942,815,8,5,2:03.044,123044
942,815,9,5,1:58.241,118241
942,815,10,5,1:58.150,118150
942,815,11,5,1:58.197,118197
942,815,12,5,1:58.719,118719
942,815,13,5,1:58.388,118388
942,815,14,5,1:58.282,118282
942,815,15,5,1:56.594,116594
942,815,16,5,1:56.538,116538
942,815,17,5,1:55.855,115855
942,815,18,5,1:55.950,115950
942,815,19,4,1:56.230,116230
942,815,20,7,2:18.246,138246
942,815,21,8,1:51.634,111634
942,815,22,9,1:49.933,109933
942,815,23,9,1:48.036,108036
942,815,24,9,1:47.475,107475
942,815,25,9,1:46.672,106672
942,815,26,9,1:45.766,105766
942,815,27,9,2:01.348,121348
942,815,28,8,2:34.536,154536
942,815,29,8,1:59.541,119541
942,815,30,8,2:39.198,159198
942,815,31,8,2:38.476,158476
942,815,32,8,2:28.402,148402
942,815,33,8,1:49.304,109304
942,815,34,8,1:46.981,106981
942,815,35,8,1:46.026,106026
942,815,36,8,1:47.024,107024
942,815,37,8,1:50.613,110613
942,815,38,8,2:15.707,135707
942,815,39,6,2:09.952,129952
942,815,40,7,1:46.452,106452
942,815,41,7,1:44.552,104552
942,815,42,7,1:44.594,104594
942,815,43,7,2:14.254,134254
942,815,44,7,2:17.268,137268
942,815,45,6,2:30.632,150632
942,815,46,6,2:29.205,149205
942,815,47,6,1:46.230,106230
942,815,48,6,1:45.309,105309
942,815,49,5,1:44.752,104752
942,815,50,5,1:43.638,103638
942,815,51,5,1:43.048,103048
942,815,52,5,1:43.532,103532
942,815,53,5,1:43.413,103413
942,815,54,5,1:43.010,103010
942,815,55,5,1:43.497,103497
942,815,56,5,1:43.615,103615
942,807,1,6,2:03.070,123070
942,807,2,6,1:59.626,119626
942,807,3,6,1:58.977,118977
942,807,4,7,2:00.810,120810
942,807,5,10,2:12.388,132388
942,807,6,10,2:16.622,136622
942,807,7,10,2:17.231,137231
942,807,8,10,2:03.110,123110
