raceId,driverId,lap,position,time,milliseconds
931,1,1,1,1:26.226,86226
931,1,2,1,1:20.852,80852
931,1,3,1,1:20.720,80720
931,1,4,1,1:20.241,80241
931,1,5,1,1:20.383,80383
931,1,6,1,1:21.588,81588
931,1,7,1,1:20.450,80450
931,1,8,1,1:20.187,80187
931,1,9,1,1:20.288,80288
931,1,10,1,1:20.301,80301
931,1,11,1,1:20.343,80343
931,1,12,1,1:20.844,80844
931,1,13,1,1:20.564,80564
931,1,14,1,1:20.855,80855
931,1,15,1,1:20.423,80423
931,1,16,1,1:20.502,80502
931,1,17,1,1:20.077,80077
931,1,18,1,1:21.465,81465
931,1,19,1,1:20.264,80264
931,1,20,1,1:20.124,80124
931,1,21,1,1:19.869,79869
931,1,22,1,1:19.872,79872
931,1,23,1,1:19.807,79807
931,1,24,1,1:20.129,80129
931,1,25,1,1:21.177,81177
931,1,26,1,1:20.755,80755
931,1,27,1,1:19.876,79876
931,1,28,1,1:19.903,79903
931,1,29,1,1:19.854,79854
931,1,30,1,1:19.748,79748
931,1,31,1,1:21.014,81014
931,1,32,1,1:20.148,80148
931,1,33,1,1:21.076,81076
931,1,34,1,1:21.254,81254
931,1,35,1,1:20.224,80224
931,1,36,1,1:20.391,80391
931,1,37,1,1:20.379,80379
931,1,38,1,1:36.182,96182
931,1,39,1,1:22.938,82938
931,1,40,1,1:20.090,80090
931,1,41,1,1:19.867,79867
931,1,42,1,1:18.676,78676
931,1,43,1,1:19.970,79970
931,1,44,1,1:20.234,80234
931,1,45,1,1:19.505,79505
931,1,46,1,1:20.258,80258
931,1,47,1,1:20.042,80042
931,1,48,1,1:20.007,80007
931,1,49,1,1:20.584,80584
931,1,50,1,1:20.257,80257
931,1,51,1,1:19.596,79596
931,1,52,1,1:19.790,79790
931,1,53,1,1:19.884,79884
931,1,54,1,1:20.001,80001
931,1,55,1,1:19.936,79936
931,1,56,1,1:20.241,80241
931,1,57,1,1:19.702,79702
931,1,58,1,1:19.833,79833
931,1,59,1,1:20.078,80078
931,1,60,1,1:19.139,79139
931,1,61,1,1:19.391,79391
931,1,62,1,1:19.290,79290
931,1,63,1,1:19.399,79399
931,1,64,1,1:33.047,93047
931,1,65,3,2:11.321,131321
931,1,66,3,2:01.137,121137
931,1,67,3,2:00.814,120814
931,1,68,3,2:10.428,130428
931,1,69,3,2:15.140,135140
931,1,70,3,1:55.272,115272
931,1,71,3,1:23.727,83727
931,1,72,3,1:20.357,80357
931,1,73,3,1:19.525,79525
931,1,74,3,1:19.402,79402
931,1,75,3,1:18.811,78811
931,1,76,3,1:19.313,79313
931,1,77,3,1:18.987,78987
931,1,78,3,1:20.129,80129
931,3,1,2,1:27.110,87110
931,3,2,2,1:21.495,81495
931,3,3,2,1:20.988,80988
931,3,4,2,1:20.688,80688
