lap,1,8,13,20,807,815,817,822,825,826,828,830,832,836,838,839,840
1,131.18,130.53,133.501,127.101,138.295,135.367,134.3,125.192,139.089,141.696,147.326,132.202,140.426,142.713,144.751,136.126,143.601
2,154.622,154.548,153.999,156.596,152.907,153.576,153.981,157.957,152.683,152.478,150.081,154.326,152.687,155.148,151.311,153.518,151.562
3,152.995,153.114,152.593,153.327,151.343,152.134,152.311,152.599,151.998,151.485,150.092,152.913,151.45,150.326,150.74,152.024,151.087
4,100.453,99.737,101.784,99.564,102.644,102.382,102.285,99.0,102.703,102.882,103.748,101.302,102.8,103.989,103.527,102.542,103.078
5,99.96,99.748,101.1,99.054,102.377,101.811,140.543,99.061,102.617,103.013,105.956,100.892,102.711,103.892,103.419,102.418,103.207
6,99.533,99.494,101.066,99.202,101.818,101.219,0.0,99.081,102.865,102.684,103.666,100.696,102.754,102.901,102.911,101.506,102.787
7,99.878,99.486,101.024,99.265,101.728,101.297,0.0,98.847,102.437,102.762,105.455,100.416,102.57,103.026,102.908,101.376,102.742
8,99.801,99.567,101.186,99.263,101.812,101.108,0.0,98.878,102.386,102.654,103.321,100.519,102.481,103.039,102.807,101.195,102.405
9,99.482,99.349,100.848,99.096,101.65,101.153,0.0,98.706,102.216,102.508,103.217,100.46,102.585,103.107,102.673,101.204,102.708
10,99.13,99.662,100.641,99.027,101.542,100.976,0.0,98.916,101.943,102.482,103.25,100.236,102.237,103.073,102.723,101.185,102.404
11,99.394,99.378,100.963,99.325,101.303,101.355,0.0,98.971,101.984,102.577,103.041,100.247,101.758,102.988,102.699,101.39,102.563
12,99.309,98.901,100.72,98.952,101.161,101.047,0.0,98.819,101.828,102.138,102.992,100.322,101.603,102.751,102.681,101.263,102.407
13,99.204,98.962,100.827,99.059,101.417,101.074,0.0,99.008,101.604,102.111,103.155,100.359,102.138,102.801,102.703,101.224,102.086
14,99.871,98.996,100.685,98.972,101.273,100.957,0.0,98.865,101.537,101.476,102.609,100.4,101.483,102.629,102.958,101.225,101.83
15,100.098,99.337,100.608,99.357,101.192,100.733,0.0,98.76,101.571,101.339,102.354,100.448,101.546,102.466,102.615,101.066,101.509
16,99.449,99.156,100.577,98.629,101.432,100.815,0.0,98.85,101.367,101.384,102.036,100.326,101.253,102.271,102.371,100.953,101.574
17,98.61,99.021,100.586,98.519,101.07,100.692,0.0,98.404,101.257,101.034,102.494,100.271,101.079,102.235,101.948,100.83,100.913
18,98.398,99.018,100.75,98.639,101.207,100.576,0.0,98.4,100.956,101.121,102.432,99.876,100.969,102.225,102.206,100.713,100.955
19,98.837,99.184,100.561,98.892,100.959,100.665,0.0,98.35,101.134,100.943,102.232,100.07,101.018,105.148,104.367,100.745,100.941
20,98.883,98.721,100.641,98.744,100.567,100.523,0.0,98.372,100.699,101.177,102.797,100.034,100.968,109.417,102.548,100.654,101.066
21,98.827,98.871,105.368,98.58,100.542,100.407,0.0,98.796,105.267,105.305,106.584,99.873,100.773,124.344,102.318,100.617,100.936
22,98.534,98.637,120.406,98.398,100.343,100.546,0.0,98.416,127.68,121.186,122.199,99.843,100.409,102.015,101.677,100.459,100.387
23,99.218,98.66,99.723,98.197,100.515,100.222,0.0,98.687,100.422,100.29,101.041,99.675,100.516,101.462,101.636,100.525,100.798
24,99.203,98.757,99.963,98.311,100.166,100.199,0.0,99.077,102.542,100.408,101.496,99.563,104.853,101.446,106.206,100.656,100.003
25,98.972,98.444,99.973,98.447,100.22,100.242,0.0,99.248,102.34,103.059,103.202,99.518,120.709,102.466,127.685,100.556,100.049
26,99.089,98.44,99.858,99.321,100.207,100.395,0.0,100.024,101.002,102.809,101.548,99.745,99.819,101.819,101.365,105.522,104.314
27,98.869,98.394,100.247,99.334,99.774,104.89,0.0,103.462,103.472,103.305,101.931,99.497,100.185,101.801,101.62,120.244,120.64
28,98.913,99.486,99.845,99.192,100.024,119.942,0.0,118.224,101.044,101.098,101.657,100.196,100.128,101.709,101.692,99.825,99.603
29,99.685,103.57,100.005,98.828,99.893,99.417,0.0,98.171,102.804,101.437,101.861,104.658,100.094,102.688,102.261,99.91,101.847
30,104.91,118.27,99.68,98.291,101.449,99.658,0.0,98.208,100.416,100.852,103.724,119.911,99.889,102.547,101.478,100.22,100.114
31,120.777,97.372,99.723,98.347,100.148,100.135,0.0,98.16,100.297,100.164,101.745,98.99,101.654,101.858,101.596,100.122,100.481
32,99.233,97.832,99.667,98.306,100.148,99.997,0.0,98.704,100.242,100.157,101.439,98.961,99.868,101.995,102.626,100.064,100.279
33,99.283,97.958,99.63,98.553,99.89,100.103,0.0,99.169,101.439,100.422,101.339,98.978,100.103,101.794,100.961,100.259,99.93
34,98.899,98.091,99.919,103.112,99.894,99.842,0.0,98.426,101.516,101.931,101.347,99.066,100.081,101.617,100.901,100.109,99.805
35,98.703,98.715,99.865,118.663,99.772,100.123,0.0,97.978,102.156,101.877,101.416,98.949,100.095,101.495,101.042,99.92,99.759
36,98.617,99.181,99.969,97.699,99.993,99.865,0.0,98.041,100.444,100.237,101.041,98.874,100.165,101.34,101.036,100.178,99.824
37,98.662,98.963,99.928,97.565,100.134,99.911,0.0,97.856,100.592,102.344,100.999,99.192,99.985,100.922,100.937,100.129,99.694
38,98.588,99.07,99.881,98.214,100.14,99.938,0.0,99.193,100.079,99.843,100.839,101.411,100.026,101.379,100.903,100.374,99.612
39,98.711,98.129,99.889,97.692,100.263,99.816,0.0,98.493,99.858,99.68,100.615,99.207,99.812,103.468,101.164,99.928,99.987
